id,Name,titleProject_id,class,score
LOginparol0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,NOSU3dFj
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,jxFqp7jG
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,hPNWEqFG
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,5w8vqzx9
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,gle8X3vg
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,zLuE0tEy
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,FKK9VqxK
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,04UbzZyV
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,2Zd2kVaE
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,tlt8KGRg
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,N4esEu6k
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,OoObrYu9
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,WaPu1Q4M
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,mOYXcEGJ
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,cknyLQ73
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,lr7KRnPp
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,aSLOL9zq
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,nkp6UOcU
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,q4U5M3v0
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,SYM1vmdx
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,cqv3A1zI
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,m0mlKCu5
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,uL64f0xi
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,JDs7xJDB
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,x83tSwjB
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,ROBsT5mM
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,nq1fwO6o
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,nG0d17WD
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,p665L82g
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,aGlmn735
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,YdUizWcM
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,wG9uToXj
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,mSsRr3oo
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,ShoCka1D
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,BxneQeFJ
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,30pWQ1GV
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,UILjcw7G
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,AfscVjWD
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,ZbtnlMYs
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,LaQ18ebV
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,nmYXDe8I
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,WxHgpIix
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,DOmlzscK
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,kvd6Ynh9
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,DsiSPkiE
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,exw75x2z
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,8WmvNuqd
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,3vPYbd4V
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,zyalokgG
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,GWvMwJ5N
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,O8p1FZ69
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,kiUTk9Is
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,cUfIvqwE
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,aHBjFCD6
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,3ONoWNHX
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,qVFjKlLV
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,CcDfyIo1
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,LXvJP3cJ
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,751LGcgc
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,nB1ap95X
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,bJo55VYE
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,W7pKmYK9
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,LXGmCvJl
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,NEU6YrCl
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,P4L1BsZc
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,SEwvgdRZ
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,7T8qUU5g
67,Остюков Артур Романович,329,11и,3,Остюков_АР,yHKkwmfz
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,IHaLjdAB
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,Nx2tBMds
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,wMHgITGp
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,yGZxWktx
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,5lI7xMbs
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,IysBLIAq
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,wGObH0eK
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,zOxI3Cjd
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,M3vLq5pj
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,AzGAtBZ0
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,xT8iUZ4o
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,6WSt0fYd
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,LXKuiLbm
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,IOKhliZc
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,dYalQVi1
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,zR4YyWAY
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,TEP36I5l
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,ZnyWWlm7
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,JMLiT3U5
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,fxH1fqMw
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,z8S39bX8
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,GuYfgTNw
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,UdAlj8Me
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,rcI4h2MZ
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,aBlgXo6q
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,DsSTpGAq
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,hsmAvCJM
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,aWhsLhQ8
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,2EhktDyb
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,OxQL7jEP
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,0VcjLMKZ
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,JvvFJUwI
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,RebA2XGX
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,sXMo0iAh
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,g06iIQGw
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,CQ703VtS
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,smaDSEsb
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,3SScNbLo
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,jeLEB2gi
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,y31eu5F3
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,4zQmEOLn
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,EQKnU228
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,Rwz3t4m9
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,63OyGSVS
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,JP2SL1C1
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,aGVJX5Ci
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,Si81DDdS
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,brc3vk1E
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,GTtaPOH4
