id,Name,titleProject_id,class,score,login,pass
,login,pass
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,HLP1RteN
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,jU8dBtuw
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,mWqTbnuw
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,K70ZW9Gh
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,EnPrHqED
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,LRvP4INc
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,GfvChDrE
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,nh9tVgsy
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,Rh4YeWUU
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,d0RZ9tHg
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,4dUTqDMI
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,E2QWW3oO
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,Fz0T9g7j
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,c7o6E713
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,YfWsVK6W
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,fLJeuYOM
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,kukEDQh5
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,KcRfMIoP
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,XVpokV22
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,0wGrkIE1
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,3Z38jBZr
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,x3cfcEAV
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,P4AmJIz1
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,UcVsaOLW
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,V0B40CWl
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,iPibkMhW
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,ycmaaSmg
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,F5BB1YN1
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,e23hLI3I
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,FN2G8XhU
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,F17U09yA
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,tHNcRHuO
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,D7pZX3nd
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,PTPQ84y3
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,egKtZyTO
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,BjjC0eDN
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,e18bIXSJ
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,4yaeD40P
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,JPaGpYRS
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,HGYcS39i
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,aodogdkG
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,42QbpkLC
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,n0RGEPmX
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,GGjCWU2g
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,Fqq2zqFm
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,R0mDzinC
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,6Mn7N7ys
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,XxiMKUEp
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,KuQOSZx0
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,3UpecwtU
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,UKUTpGOc
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,0clghfgo
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,HXMkhQR4
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,COhHupcE
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,cNWl5Foz
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,kdgeuBou
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,ULc5k36H
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,mGsPfSmO
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,294gARON
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,ukWAWdmD
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,6hiaUoLR
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,ooxXuK0O
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,ZSmNX0k3
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,RoxjoGdd
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,iv6aoaLv
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,33ajnyAU
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,WzBIptM7
67,Остюков Артур Романович,329,11и,3,Остюков_АР,c5bgbyS5
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,cXttHE25
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,crBuUwPS
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,0guqILei
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,u9A2fXsk
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,wubgvUxB
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,1nlXJlhG
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,F46kGWqN
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,uewJxGrK
